No. Of Items,	 n^2,Bubble Sort,Insertion Sort,Selection Sort,MergeSort,QuickSort,HeapSort
10,100,45,21,55,35,12,
20,400,190,108,210,50,52,
30,900,435,186,465,17,71,
40,1600,780,427,820,54,169,
50,2500,1225,664,1275,43,110,
60,3600,1770,877,1830,37,204,
70,4900,2415,1126,2485,55,200,
80,6400,3160,1624,3240,77,211,
90,8100,4005,1868,4095,72,358,
100,10000,4950,2446,5050,40,288,
110,12100,5995,2989,6105,27,471,
120,14400,7140,3290,7260,30,727,
130,16900,8385,4018,8515,40,571,
140,19600,9730,5077,9870,98,599,
150,22500,11175,5918,11325,94,651,
160,25600,12720,6317,12880,109,749,
170,28900,14365,7510,14535,51,643,
180,32400,16110,8657,16290,76,827,
190,36100,17955,8756,18145,119,846,
200,40000,19900,9584,20100,89,768,
210,44100,21945,10714,22155,105,952,
220,48400,24090,11089,24310,92,923,
230,52900,26335,13052,26565,130,1406,
240,57600,28680,15143,28920,104,1682,
250,62500,31125,16349,31375,111,1216,
260,67600,33670,17386,33930,118,1281,
270,72900,36315,18577,36585,121,1368,
280,78400,39060,19074,39340,92,1565,
290,84100,41905,19957,42195,108,2005,
300,90000,44850,23410,45150,117,1409,
310,96100,47895,23497,48205,86,1345,
320,102400,51040,25443,51360,85,1252,
330,108900,54285,28532,54615,111,1688,
340,115600,57630,28997,57970,142,1942,
350,122500,61075,32015,61425,119,1438,
360,129600,64620,32044,64980,131,1876,
370,136900,68265,32799,68635,126,1981,
380,144400,72010,34404,72390,83,1559,
390,152100,75855,36883,76245,142,1834,
400,160000,79800,39681,80200,92,1938,
410,168100,83845,44054,84255,175,2082,
420,176400,87990,43060,88410,112,2276,
430,184900,92235,46578,92665,127,1682,
440,193600,96580,48879,97020,136,2579,
450,202500,101025,52232,101475,209,2614,
460,211600,105570,53366,106030,122,2778,
470,220900,110215,56619,110685,163,2368,
480,230400,114960,55343,115440,157,2834,
490,240100,119805,61295,120295,120,2369,
500,250000,124750,61571,125250,198,2261,
510,260100,129795,64347,130305,182,2113,
520,270400,134940,67342,135460,164,3044,
530,280900,140185,71026,140715,129,2855,
540,291600,145530,68411,146070,193,3186,
550,302500,150975,75612,151525,171,2988,
560,313600,156520,75257,157080,200,2555,
570,324900,162165,77458,162735,147,2780,
580,336400,167910,82610,168490,191,3465,
590,348100,173755,90074,174345,199,3566,
600,360000,179700,90531,180300,155,3377,
610,372100,185745,90485,186355,194,3820,
620,384400,191890,98695,192510,211,3086,
630,396900,198135,100775,198765,192,4654,
640,409600,204480,103147,205120,156,3632,
650,422500,210925,103451,211575,187,3337,
660,435600,217470,111267,218130,190,4239,
670,448900,224115,112800,224785,210,3724,
680,462400,230860,114267,231540,208,3605,
690,476100,237705,115954,238395,184,4774,
700,490000,244650,119118,245350,200,3314,
710,504100,251695,128664,252405,194,4309,
720,518400,258840,124544,259560,176,4564,
730,532900,266085,130882,266815,192,3955,
740,547600,273430,138348,274170,188,4526,
750,562500,280875,139113,281625,217,4232,
760,577600,288420,143826,289180,216,3657,
770,592900,296065,146393,296835,249,5250,
780,608400,303810,145144,304590,183,4172,
790,624100,311655,155403,312445,180,4911,
800,640000,319600,167519,320400,240,4355,
810,656100,327645,168226,328455,220,4525,
820,672400,335790,171102,336610,236,4538,
830,688900,344035,176564,344865,261,4497,
840,705600,352380,174354,353220,252,5141,
850,722500,360825,181203,361675,244,4537,
860,739600,369370,189076,370230,234,5912,
870,756900,378015,189422,378885,240,5176,
880,774400,386760,194128,387640,249,7145,
890,792100,395605,201779,396495,209,6488,
900,810000,404550,194239,405450,249,6527,
910,828100,413595,212875,414505,240,5429,
920,846400,422740,216841,423660,235,5186,
930,864900,431985,222755,432915,266,6162,
940,883600,441330,221970,442270,252,5427,
950,902500,450775,227390,451725,254,6184,
960,921600,460320,230948,461280,253,6560,
970,940900,469965,227920,470935,249,6272,
980,960400,479710,237385,480690,303,5082,
990,980100,489555,250622,490545,288,6406,
1000,1000000,499500,253249,500500,310,5158,
1010,1020100,509545,248237,510555,278,6082,
1020,1040400,519690,259675,520710,301,6679,
1030,1060900,529935,263846,530965,259,8631,
1040,1081600,540280,262023,541320,284,6573,
1050,1102500,550725,271616,551775,291,5975,
1060,1123600,561270,276924,562330,281,6544,
1070,1144900,571915,282505,572985,288,7886,
1080,1166400,582660,295868,583740,300,7378,
1090,1188100,593505,290448,594595,291,7072,
1100,1210000,604450,298754,605550,330,6331,
1110,1232100,615495,303781,616605,311,6971,
1120,1254400,626640,318334,627760,321,6963,
1130,1276900,637885,302542,639015,311,7393,
1140,1299600,649230,316397,650370,286,6712,
1150,1322500,660675,337503,661825,337,7456,
1160,1345600,672220,331588,673380,329,8342,
1170,1368900,683865,344055,685035,349,7883,
1180,1392400,695610,334990,696790,346,8006,
1190,1416100,707455,348927,708645,303,6628,
1200,1440000,719400,357270,720600,321,9612,
1210,1464100,731445,353000,732655,343,6328,
1220,1488400,743590,375010,744810,341,8542,
1230,1512900,755835,374604,757065,361,7762,
1240,1537600,768180,389291,769420,297,10692,
1250,1562500,780625,397786,781875,302,8574,
1260,1587600,793170,399103,794430,356,7017,
1270,1612900,805815,387939,807085,344,6538,
1280,1638400,818560,399331,819840,346,8695,
1290,1664100,831405,410255,832695,364,8414,
1300,1690000,844350,407520,845650,350,8635,
1310,1716100,857395,426772,858705,403,9014,
1320,1742400,870540,453770,871860,345,7928,
1330,1768900,883785,446228,885115,378,7812,
1340,1795600,897130,454777,898470,362,8556,
1350,1822500,910575,462831,911925,362,8137,
1360,1849600,924120,453018,925480,371,9953,
1370,1876900,937765,479216,939135,386,10507,
1380,1904400,951510,456496,952890,404,7062,
1390,1932100,965355,463104,966745,388,8298,
1400,1960000,979300,477971,980700,406,8457,
1410,1988100,993345,493616,994755,343,9677,
1420,2016400,1007490,500396,1008910,391,11038,
1430,2044900,1021735,517023,1023165,387,9412,
1440,2073600,1036080,527772,1037520,372,10573,
1450,2102500,1050525,529182,1051975,329,10826,
1460,2131600,1065070,534852,1066530,434,9322,
1470,2160900,1079715,545214,1081185,387,9202,
1480,2190400,1094460,553515,1095940,417,10055,
1490,2220100,1109305,548968,1110795,401,10183,
1500,2250000,1124250,562846,1125750,396,11908,
1510,2280100,1139295,573039,1140805,426,8973,
1520,2310400,1154440,574263,1155960,400,8381,
1530,2340900,1169685,588275,1171215,409,12632,
1540,2371600,1185030,600226,1186570,375,10724,
1550,2402500,1200475,590729,1202025,398,10207,
1560,2433600,1216020,597425,1217580,392,9406,
1570,2464900,1231665,625593,1233235,448,10207,
1580,2496400,1247410,618144,1248990,447,10062,
1590,2528100,1263255,633754,1264845,418,10785,
1600,2560000,1279200,653489,1280800,430,10708,
1610,2592100,1295245,661605,1296855,443,9790,
1620,2624400,1311390,649837,1313010,448,10954,
1630,2656900,1327635,661776,1329265,464,10824,
1640,2689600,1343980,684885,1345620,467,11236,
1650,2722500,1360425,696507,1362075,450,8982,
1660,2755600,1376970,690814,1378630,405,10105,
1670,2788900,1393615,703484,1395285,454,11754,
1680,2822400,1410360,703731,1412040,479,11589,
1690,2856100,1427205,704248,1428895,460,14412,
1700,2890000,1444150,737856,1445850,430,15677,
1710,2924100,1461195,759928,1462905,448,12360,
1720,2958400,1478340,736096,1480060,451,11391,
1730,2992900,1495585,748116,1497315,436,12461,
1740,3027600,1512930,756752,1514670,513,9854,
1750,3062500,1530375,755473,1532125,475,10429,
1760,3097600,1547920,789395,1549680,469,13450,
1770,3132900,1565565,758928,1567335,504,10435,
1780,3168400,1583310,784291,1585090,507,11053,
1790,3204100,1601155,794098,1602945,490,12276,
1800,3240000,1619100,815143,1620900,487,11046,
1810,3276100,1637145,823655,1638955,425,12241,
1820,3312400,1655290,821144,1657110,485,13584,
1830,3348900,1673535,819204,1675365,475,12638,
1840,3385600,1691880,844471,1693720,472,13232,
1850,3422500,1710325,844454,1712175,528,12565,
1860,3459600,1728870,865993,1730730,511,13738,
1870,3496900,1747515,869643,1749385,464,15995,
1880,3534400,1766260,880432,1768140,483,13912,
1890,3572100,1785105,875813,1786995,542,12352,
1900,3610000,1804050,909434,1805950,529,14236,
1910,3648100,1823095,910942,1825005,492,13794,
1920,3686400,1842240,929847,1844160,472,14685,
1930,3724900,1861485,923239,1863415,520,11250,
1940,3763600,1880830,934035,1882770,496,13447,
1950,3802500,1900275,954208,1902225,514,11943,
1960,3841600,1919820,971383,1921780,534,13698,
1970,3880900,1939465,974878,1941435,528,12980,
1980,3920400,1959210,984668,1961190,515,14390,
1990,3960100,1979055,986252,1981045,515,14662,
2000,4000000,1999000,1012421,2001000,583,14187,
